symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link
GOOGL,200,171.40,2026-01-26 1:30:00 PM,175.60,2026-01-26 3:15:00 PM,long,support reclaim,4,n/a,patient,good entry timing,took profits early,
COIN,200,229.40,2026-01-29 1:45:00 PM,225.20,2026-01-29 3:15:00 PM,short,BTC correlation,4,n/a,calm,good entry timing,exited before target,

Week Summary,,,,,,,,,,,,,,
NVDA,500,160.40,2026-01-23 9:35:00 AM,165.20,2026-01-23 10:45:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,286.80,2026-01-21 9:40:00 AM,282.40,2026-01-21 11:00:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
PLTR,700,93.40,2026-01-22 9:35:00 AM,89.60,2026-01-22 10:45:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
MARA,900,26.40,2026-01-19 10:00:00 AM,24.80,2026-01-19 11:30:00 AM,short,BTC correlation,4,n/a,calm,correlated entry timing,exited before target,
AMD,400,176.20,2026-01-20 9:45:00 AM,172.40,2026-01-20 11:15:00 AM,short,reversal play,4,n/a,patient,good entry timing,exited at first resistance,
META,100,572.60,2026-01-23 1:30:00 PM,578.40,2026-01-23 3:00:00 PM,long,PMH breakout,5,n/a,very confident,added on confirmation,could hold runner,
NVDA,300,158.80,2026-01-21 1:00:00 PM,163.40,2026-01-21 3:15:00 PM,long,VWAP reclaim,4,n/a,focused,waited for volume,sold too soon,
AMZN,250,222.60,2026-01-22 2:00:00 PM,218.40,2026-01-22 3:30:00 PM,short,reversal play,4,n/a,calm,partial exits smooth,exited before target,
CRWD,100,392.40,2026-01-19 2:15:00 PM,386.80,2026-01-19 3:45:00 PM,short,reversal play,3,exited too early,patient,good entry timing,exited before target,

Week Summary,,,,,,,,,,,,,,
NVDA,500,157.60,2026-01-16 9:35:00 AM,162.40,2026-01-16 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,90.80,2026-01-14 9:40:00 AM,94.20,2026-01-14 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,282.40,2026-01-12 10:00:00 AM,287.60,2026-01-12 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,173.60,2026-01-15 9:35:00 AM,168.80,2026-01-15 10:50:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
MARA,800,25.60,2026-01-13 11:30:00 AM,27.20,2026-01-13 2:00:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
META,100,568.40,2026-01-16 10:00:00 AM,574.80,2026-01-16 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,took profits early,
CRWD,100,388.60,2026-01-14 2:00:00 PM,395.40,2026-01-14 3:30:00 PM,long,multi-day breakout,5,n/a,very confident,rode momentum,could hold runner,
GOOGL,200,186.40,2026-01-12 1:30:00 PM,182.60,2026-01-12 3:00:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
COIN,250,296.40,2026-01-13 9:45:00 AM,291.80,2026-01-13 11:00:00 AM,short,BTC correlation,4,n/a,calm,partial exits smooth,exited before target,

Week Summary,,,,,,,,,,,,,,
NVDA,500,154.80,2026-01-09 9:35:00 AM,159.60,2026-01-09 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,700,88.40,2026-01-07 9:40:00 AM,92.20,2026-01-07 11:15:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,took profits early,
TSLA,200,278.60,2026-01-05 10:00:00 AM,283.80,2026-01-05 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
AMD,400,170.80,2026-01-08 9:35:00 AM,176.20,2026-01-08 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,24.80,2026-01-06 11:00:00 AM,26.40,2026-01-06 1:30:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
SMCI,400,48.40,2026-01-09 10:00:00 AM,44.80,2026-01-09 11:30:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
CRWD,100,384.80,2026-01-07 2:00:00 PM,391.60,2026-01-07 3:30:00 PM,long,flag breakout,5,n/a,very confident,rode momentum,took profits early,
AMZN,250,220.40,2026-01-05 1:30:00 PM,224.60,2026-01-05 3:00:00 PM,long,support reclaim,4,n/a,patient,good entry timing,exited at first resistance,
RIOT,800,16.40,2026-01-08 11:00:00 AM,17.60,2026-01-08 1:45:00 PM,long,BTC correlation,4,n/a,focused,added on confirmation,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,400,152.40,2025-12-31 9:35:00 AM,157.20,2025-12-31 10:45:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,86.20,2025-12-29 9:40:00 AM,89.80,2025-12-29 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,276.40,2026-01-02 10:00:00 AM,281.60,2026-01-02 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,168.40,2025-12-30 9:35:00 AM,173.60,2025-12-30 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,700,24.20,2025-12-31 11:30:00 AM,25.80,2025-12-31 2:00:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
GOOGL,200,183.60,2025-12-29 2:00:00 PM,187.40,2025-12-29 3:30:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,
META,100,564.80,2026-01-02 1:30:00 PM,571.20,2026-01-02 3:00:00 PM,long,PMH breakout,5,n/a,very confident,added on confirmation,took profits early,
COIN,200,290.60,2025-12-30 1:45:00 PM,285.40,2025-12-30 3:15:00 PM,short,BTC correlation,4,n/a,calm,good entry timing,exited before target,
NET,400,127.40,2025-12-29 11:00:00 AM,123.80,2025-12-29 12:30:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,

Week Summary,,,,,,,,,,,,,,
NVDA,500,149.80,2025-12-26 9:35:00 AM,154.60,2025-12-26 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,84.20,2025-12-24 9:40:00 AM,87.60,2025-12-24 11:15:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,272.80,2025-12-22 10:00:00 AM,277.60,2025-12-22 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,165.60,2025-12-23 9:35:00 AM,170.80,2025-12-23 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,700,23.60,2025-12-22 11:30:00 AM,25.20,2025-12-22 2:00:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
CRWD,100,380.40,2025-12-26 10:00:00 AM,387.60,2025-12-26 11:30:00 AM,long,flag breakout,5,n/a,very confident,rode momentum,took profits early,
DDOG,300,148.40,2025-12-23 2:00:00 PM,152.60,2025-12-23 3:30:00 PM,long,trend continuation,4,n/a,calm,partial exits smooth,exited at first resistance,
SMCI,400,46.80,2025-12-24 1:30:00 PM,43.20,2025-12-24 3:00:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
AMZN,250,217.60,2025-12-22 1:30:00 PM,221.80,2025-12-22 3:00:00 PM,long,support reclaim,4,n/a,patient,good entry timing,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,500,147.20,2025-12-19 9:35:00 AM,152.40,2025-12-19 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,700,82.40,2025-12-17 9:40:00 AM,85.80,2025-12-17 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,took profits early,
TSLA,200,269.40,2025-12-15 10:00:00 AM,274.60,2025-12-15 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
AMD,400,163.20,2025-12-18 9:35:00 AM,168.40,2025-12-18 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,23.20,2025-12-16 11:00:00 AM,24.80,2025-12-16 1:30:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
META,100,560.40,2025-12-19 10:00:00 AM,567.20,2025-12-19 11:30:00 AM,long,PMH breakout,5,n/a,very confident,added on confirmation,took profits early,
GOOGL,200,181.20,2025-12-15 2:00:00 PM,185.40,2025-12-15 3:30:00 PM,long,pullback to 9 EMA,4,n/a,patient,good entry timing,exited at first resistance,
RIOT,700,15.80,2025-12-17 11:00:00 AM,16.90,2025-12-17 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,
NET,300,124.80,2025-12-18 2:00:00 PM,128.60,2025-12-18 3:30:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,

Week Summary,,,,,,,,,,,,,,
NVDA,450,144.60,2025-12-12 9:35:00 AM,149.80,2025-12-12 10:45:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,80.60,2025-12-10 9:40:00 AM,83.80,2025-12-10 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,266.80,2025-12-08 10:00:00 AM,271.40,2025-12-08 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,160.80,2025-12-11 9:35:00 AM,156.20,2025-12-11 10:50:00 AM,short,reversal play,4,n/a,calm,good entry timing,exited before target,
MARA,800,22.80,2025-12-09 11:30:00 AM,24.40,2025-12-09 2:00:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
CRWD,100,376.60,2025-12-12 10:00:00 AM,383.80,2025-12-12 11:30:00 AM,long,multi-day breakout,5,n/a,very confident,rode momentum,took profits early,
DDOG,300,145.60,2025-12-09 2:00:00 PM,149.80,2025-12-09 3:30:00 PM,long,flag breakout,4,n/a,calm,partial exits smooth,exited at first resistance,
AMZN,250,214.80,2025-12-08 1:30:00 PM,218.60,2025-12-08 3:00:00 PM,long,support reclaim,4,n/a,patient,good entry timing,exited at first resistance,
SMCI,500,44.60,2025-12-10 2:15:00 PM,41.20,2025-12-10 3:45:00 PM,short,reversal play,4,n/a,calm,good entry timing,exited before target,

Week Summary,,,,,,,,,,,,,,
NVDA,500,142.20,2025-12-05 9:35:00 AM,147.40,2025-12-05 10:50:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
TSLA,300,263.60,2025-12-03 9:40:00 AM,268.80,2025-12-03 11:00:00 AM,long,trend continuation,4,n/a,patient,held through pullback,sold too soon,
PLTR,700,79.00,2025-12-04 9:35:00 AM,82.40,2025-12-04 11:15:00 AM,long,gap and go,5,n/a,confident,A+ execution,took profits early,
MARA,900,22.40,2025-12-01 10:00:00 AM,24.00,2025-12-01 12:30:00 PM,long,crypto momentum,5,n/a,very confident,rode momentum,could scale better,
AMD,400,158.40,2025-12-02 9:45:00 AM,163.20,2025-12-02 11:30:00 AM,long,VWAP reclaim,4,n/a,focused,waited for volume,took profits early,
GOOGL,200,179.00,2025-12-03 2:00:00 PM,183.20,2025-12-03 3:30:00 PM,long,pullback to 9 EMA,4,n/a,patient,good entry timing,exited at first resistance,
NET,400,122.00,2025-12-04 1:30:00 PM,125.80,2025-12-04 3:00:00 PM,long,consolidation break,4,n/a,calm,partial exits smooth,exited at first resistance,
COIN,250,283.40,2025-12-05 1:45:00 PM,278.20,2025-12-05 3:30:00 PM,short,BTC correlation,4,n/a,calm,good entry timing,exited before target,
RIOT,700,15.20,2025-12-02 11:00:00 AM,16.40,2025-12-02 1:45:00 PM,long,BTC correlation,4,n/a,focused,correlated entry timing,took profits early,

Week Summary,,,,,,,,,,,,,,
NVDA,500,139.80,2025-11-28 9:35:00 AM,144.60,2025-11-28 10:55:00 AM,long,ORB breakout,5,n/a,very confident,scaled in on confirmation,could hold runner,
PLTR,600,77.40,2025-11-26 9:40:00 AM,80.60,2025-11-26 11:20:00 AM,long,VWAP reclaim,5,n/a,focused,waited for volume,sold too soon,
TSLA,200,260.80,2025-11-24 10:00:00 AM,265.60,2025-11-24 12:00:00 PM,long,trend continuation,4,n/a,patient,held through pullback,took profits early,
AMD,350,156.20,2025-11-25 9:35:00 AM,161.40,2025-11-25 10:50:00 AM,long,morning momentum,5,n/a,confident,A+ execution,could hold runner,
MARA,800,21.80,2025-11-24 11:30:00 AM,23.40,2025-11-24 2:00:00 PM,long,crypto momentum,4,n/a,focused,correlated entry timing,could scale better,
SMCI,400,43.20,2025-11-28 10:00:00 AM,46.40,2025-11-28 11:30:00 AM,long,gap and go,4,n/a,calm,partial exits smooth,exited at first resistance,
CRWD,100,373.00,2025-11-26 2:00:00 PM,380.20,2025-11-26 3:30:00 PM,long,multi-day breakout,5,n/a,very confident,rode momentum,took profits early,
DDOG,300,143.20,2025-11-25 2:00:00 PM,147.40,2025-11-25 3:30:00 PM,long,flag breakout,4,n/a,calm,partial exits smooth,exited at first resistance,
COIN,200,276.80,2025-11-27 1:45:00 PM,271.60,2025-11-27 3:15:00 PM,short,BTC correlation,4,n/a,calm,good entry timing,exited before target,

Week Summary,,,,,,,,,,,,,,
