symbol,shares,entryPrice,entryTime,exitPrice,exitTime,stopLoss,target,pnl,pnl%,setup,confidence,macd,volVsAvgVolume,ruleViolation,psychology,whatWorked,whatFailed,link
LIMN,2080.00,1.254,2026-02-04 8:47:00 AM,1.250,2026-02-04 8:52:00 AM,1.220,1.370,-8.32,-0.32,n/a,3.00,asc,above,no exit stradegy,"anxious
fomo","waited for ORB to form
macd asc","early entry
no clear exit defined",
FUSE,960.00,2.873,2026-02-03 8:45:00 AM,2.756,2026-02-03 8:55:00 AM,n/a,3.050,-112.32,-4.07,n/a,3.00,asc,above,no exit stradegy,"anxious
fomo","waited for ORB to form
macd asc","early entry
no exit defined",
FUSE,880.00,3.017,2026-02-02 8:55:00 AM,3.020,2026-02-02 8:58:00 AM,2.890,3.310,2.64,0.10,200 MA Support,4.00,asc,above,exited trade early,anxious,"waited for ORB to form
macd asc",early exit,https://photos.app.goo.gl/WfTwhThb7inHwqio7
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-30.16,-0.69,,,,,,,,,
VIVS,880.00,2.990,2026-01-30 9:03:00 AM,3.171,2026-01-30 9:04:00 AM,2.870,3.300,159.28,6.05,ORB Support,4.00,asc,above,exited trade early,anxious,"waited for ORB to form
macd asc",early exit,https://photos.app.goo.gl/2WzTxJ5jNn4PQ8c4A
FEED,640.00,4.105,2026-01-29 9:13:00 AM,3.895,2026-01-29 9:13:00 AM,3.910,4.510,-134.40,-5.12,ORB Break Resistance Retest,4.00,asc,above,didn't wait for support to be hit,"excited
nervous",waited for ORB to form,early entry,https://photos.app.goo.gl/RrrHbeqcrhVPa2ob6
BATL,640.00,3.885,2026-01-28 8:40:00 AM,4.055,2026-01-28 8:45:00 AM,3.790,4.200,108.80,4.38,ORB Support,3.00,asc,above,n/a,excited,"waited for ORB to form
exited trade at PM high
good entry",resistance before target,https://photos.app.goo.gl/GvnGdYgusupzsEuy5
PHGE,384.00,7.005,2026-01-27 8:52:00 AM,6.820,2026-01-27 8:55:00 AM,6.890,7.700,-71.04,-2.64,n/a,2.00,asc,above,not a valid setup,anxious,waited for ORB to form,bad entry,https://photos.app.goo.gl/rYL4VMjWwBDC7Tj78
GXAI,1600.00,1.723,2026-01-26 8:49:00 AM,1.665,2026-01-26 8:52:00 AM,1.670,1.920,-92.80,-3.37,PM support,3.00,desc,same,desc macd,calm,"waited for ORB to form
decent entry",stuck at resistance,https://photos.app.goo.gl/emyxA1YyXNJdAj6W7
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-192.96,-4.96,,,,,,,,,
KUST,800.00,3.970,2026-01-23 8:50:00 AM,3.480,2026-01-23 8:54:00 AM,3.690,4.400,-392.00,-12.34,strong break pull back,4.00,asc,above,not a typical setup,excited,great entry,"huge spike
big wicks in same area earlier",https://photos.app.goo.gl/YV1WokxzJ9UFffWz5
SXTP,880.00,3.223,2026-01-22 6:44:00 AM,3.503,2026-01-22 6:46:00 AM,2.990,2.540,246.40,8.69,support,3.00,asc,above,ORB not setup,anxious,great entry,exited during asc macd,https://photos.app.goo.gl/kzxNxo9N5bveR8dm6
BOXL,1280.00,2.327,2026-01-21 8:42:00 AM,2.125,2026-01-21 8:50:00 AM,2.170,2.550,-258.56,-8.68,FVG support,4.00,flat,above,ORB not setup,anxious,decent entry,"macd crossed over
",https://photos.app.goo.gl/mTCTG1D16gGScUw68
IVF,800.00,3.581,2026-01-20 8:42:00 AM,3.845,2026-01-20 8:48:00 AM,3.390,3.940,211.20,7.37,FVG support,4.00,asc,above,exit trade early,calm,"waited for ORB to form
decent entry","didn't wait for exit indication
entry was a tad high",https://photos.app.goo.gl/fMcWrrA13NFDxFmM9
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,112.29,4.01,,,,,,,,,
VERO,448.00,6.839,2026-01-16 8:46:00 AM,6.520,2026-01-16 8:54:00 AM,6.650,7.500,-142.91,-4.66,PMH support,4.00,asc,above,exit trade early,impatient,"waited for ORB to form
decent entry",didn't wait for exit indication,https://photos.app.goo.gl/vmUx7mB2VmDf1V1RA
AUID,1440.00,2.129,2026-01-15 9:24:00 AM,2.131,2026-01-15 9:30:00 AM,2.090,2.300,2.88,0.09,pull back after high vol green candle,3.00,flat,above,"flat macd
no support level",rushed,"waited for ORB to form
exited when macd failed to go positive",failed to break resistance 2 times,https://photos.app.goo.gl/3LpPtv8BcLBmbXc9A
BEEM,1440.00,2.143,2026-01-14 9:33:00 AM,2.144,2026-01-14 9:34:00 AM,2.090,2.350,1.44,0.05,200 MA support bounce,3.00,desc,same,desc macd,calm,"waited for ORB to form
exited when macd failed to go positive",failed to break resistance 2 times,https://photos.app.goo.gl/wmvTBu5QNquwhYda9
DCOY,2560.00,1.169,2026-01-13 9:06:00 AM,1.192,2026-01-13 9:23:00 AM,1.140,1.290,58.88,1.97,ORB support,3.00,asc,below,n/a,anxious,"5 min candle new high at ORB support
macd asc",volume decreasing,https://photos.app.goo.gl/mAQQR5B8rvgaH53m6
EVTV,1920.00,1.524,2026-01-12 9:33:00 AM,1.624,2026-01-12 9:34:00 AM,1.390,1.770,192.00,6.56,first PB after ORB break,4.00,asc,above,n/a,rushed,volume spike through ORB break,had meeting coming up so exited early,https://photos.app.goo.gl/DWVz1RhKrECtkNsG6
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-52.16,-1.89,,,,,,,,,
OPAD,1120.00,2.372,2026-01-09 8:58:00 AM,2.350,2026-01-09 9:04:00 AM,7.700,8.780,-24.64,-0.93,FVG under PMH,4.00,desc,same,no clear sign to enter,calm,support at FVG,"low volume
macd desc",https://photos.app.goo.gl/XsqNz87sYKwVoVDw6
ACON,320.00,8.049,2026-01-08 8:56:00 AM,8.713,2026-01-08 8:58:00 AM,7.700,8.780,212.48,8.25,ORB support,4.00,asc,"below when I entered
higher than prev bar",n/a,excited,"support at ORB low
took profit at ORB high",exited during asc macd,https://photos.app.goo.gl/hhZrjhQ4CpBGKVwc7
NVVE,800.00,3.450,2026-01-07 8:40:00 AM,3.330,2026-01-07 8:48:00 AM,3.300,3.700,-96.00,-3.48,10% retracement off high,3.00,asc,above,"orb not setup
not one of my setups",fomo,under 5% loss,"bad entry
no clear exit",https://photos.app.goo.gl/hkgqAk4xiAUK2zaY8
BNAI,640.00,4.299,2026-01-06 8:40:00 AM,4.260,2026-01-06 8:49:00 AM,4.170,4.670,-24.96,-0.91,PM Support,3.00,asc,above,orb not setup,none,"good level identification, 4.30 PM support
under 5% loss",exited trade early,https://photos.app.goo.gl/c3yxcUpBVQBSFeKV8
MNTS,240.00,10.276,2026-01-05 8:41:00 AM,9.780,2026-01-05 8:44:00 AM,9.800,11.000,-119.04,-4.83,PMH support,3.00,desc,above,"buy at support
orb not setup",fomo,"good level identification, 10 PMH support
under 5% loss",bad entry,https://photos.app.goo.gl/XEAKekXAK1LWjtDW9
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-268.16,-8.82,,,,,,,,,https://claude.ai/chat/d4d0714e-8069-40fb-bd6c-6ec396b40d32
BNAI,960.00,3.156,2026-01-02,3.111,2026-01-02,,,-43.20,-1.43,high volume support,,,,,,,"hold longer on asc macd and vol
stop loss to close",https://photos.app.goo.gl/QuAUcNh33H5rhBnt7
INBS,320.00,8.273,2025-12-31,8.545,2025-12-31,,,87.04,3.29,5 min candle to make new high,,,,,,,hold longer on asc macd and vol,https://photos.app.goo.gl/2FJcJScENfMkVXeu5
SOPA,800.00,3.668,2025-12-30,3.434,2025-12-30,,,-187.20,-6.38,PDH & PM support,,,,,,,need patience for better entry,https://photos.app.goo.gl/vjGq8iaLGZSeyRcK6
SOPA,960.00,3.024,2025-12-29,2.894,2025-12-29,,,-124.80,-4.30,"PMH support
FVG",,,,,,,need patience for better entry,https://photos.app.goo.gl/KL8iU2iJRfW1o9k36
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,294.72,10.98,,,,,,,,,https://claude.ai/chat/9991d0bd-070a-45fe-95b0-5585a0699bc7
ECDA,2240.00,1.248,2025-12-26,1.433,2025-12-26,,,414.40,14.82,PM support,,,,,,,hold longer on asc macd and vol,https://photos.app.goo.gl/1reL22zaLzysR5U19
TRIB,1920.00,1.523,2025-12-23,1.430,2025-12-23,,,-178.56,-6.11,PM support,,,,,,,"need patience, don't trade desc macd",https://photos.app.goo.gl/yj8Q93EYvxzPbRza6
SIDU,1280.00,2.036,2025-12-22,2.082,2025-12-22,,,58.88,2.26,MACD reversal,,,,,,,"high vol, moves take longer",https://photos.app.goo.gl/kmLcDY3mXzgi6fRf7
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-35.35,-1.64,,,,,,,,,https://claude.ai/chat/bd099c58-5a48-4e32-abd2-44a650278663
XRXS,800.00,3.370,2025-12-19,3.292,2025-12-19,,,-62.40,-2.31,PM support,,,,,,,"need patience, don't trade desc macd",https://photos.app.goo.gl/KrD3Zxwofm1j3i2F6
PAVS,1120.00,2.556,2025-12-18,2.395,2025-12-18,,,-180.32,-6.30,PDH support,,,,,,,wait till support is hit,https://photos.app.goo.gl/UoBcH2NrhdPL7dEL7
YCBD,1280.00,2.343,2025-12-17,2.285,2025-12-17,,,-74.24,-2.48,no good reason,,,,,,,"too late in the day, desc macd",https://photos.app.goo.gl/xxFPe2KDoSo63WRq5
VERO,1350.00,2.176,2025-12-16,2.295,2025-12-16,,,160.65,5.47,back test at PM support break,,,,,,,hold longer on asc macd and vol,https://photos.app.goo.gl/m1S4rT1m4Yuk4GFR6
YCBD,2240.00,1.356,2025-12-15,1.410,2025-12-15,,,120.96,3.98,consolidation at PM support,,,,,,,hold longer on asc macd and vol,https://photos.app.goo.gl/8Ap3D8UsYhtyVV2Q6
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,359.52,14.64,,,,,,,,,https://claude.ai/chat/9a0245fe-f3cb-47b7-a471-590c45be9ee7
YCBD,2240.00,1.180,2025-12-12,1.200,2025-12-12,,,44.80,1.69,consolidation at PM support,,,,,,,hold longer on asc macd and vol,https://photos.app.goo.gl/qYYVT3dJCSRDTLxy8
BEAT,1120.00,2.347,2025-12-11,2.355,2025-12-11,,,8.96,0.34,consolidation above resistance break,,,,,,,too late in the day + late entry,https://photos.app.goo.gl/K4A2EF1R8TH2xnZHA
BEAT,1760.00,1.399,2025-12-10,1.461,2025-12-10,,,109.12,4.43,15 min orb low,,,,,,,quick scalp to previous candle high,https://photos.app.goo.gl/xSqPsT2PsGnNib9V9
XCUR,320.00,8.917,2025-12-09,8.825,2025-12-09,,,-29.44,-1.03,n/a,,,,,,,n/a,https://photos.app.goo.gl/EAXpL1ubnxATWMPbA
IBIO,1440.00,1.706,2025-12-08,1.863,2025-12-08,,,226.08,9.20,PM support,,,,,,,hold till exit indicator,https://photos.app.goo.gl/Ddwkyjo4ggpfXdpA6
,,,,,,,,,,,,,,,,,,
Week Summary,,,,,,,,-501.60,-16.10,,,,,,,,,https://claude.ai/chat/bdbef0aa-f199-4c3b-92c8-4fc393482ed8
JFBR,960.00,2.964,2025-12-05,2.655,2025-12-05,,,-296.64,-10.43,15 min orb support,,,,,,,neg macd + held loss too long,https://photos.app.goo.gl/FXr8upBqXQjfooAh7
QCLS,480.00,6.321,2025-12-04,6.115,2025-12-04,,,-98.88,-3.26,15 min orb resistance break,,,,,,,bad entry + wait for support level,https://photos.app.goo.gl/Tqwax1jA7tBZfs34A
QCLS,640.00,5.111,2025-12-03,4.631,2025-12-03,,,-307.20,-9.39,n/a,,,,,,,n/a,https://photos.app.goo.gl/ftRxAYggbdDfHejP7
FTEL,1920.00,1.607,2025-12-02,1.675,2025-12-02,,,130.56,4.23,PDH support,,,,,,,used 15 orb low resitance to exit,https://photos.app.goo.gl/7fsp3nezKKGEXdsy5
QTTB,480.00,5.353,2025-12-01,5.500,2025-12-01,,,70.56,2.75,"PMH support
FVG",,,,,,,late entry + early exit,https://photos.app.goo.gl/dBmv3VYtB9HoddZ49
