symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link
META,3,509.00,2025-11-25 1:40:00 PM,505.00,2025-11-25 2:55:00 PM,long,pullback,2,no stop loss plan,stubborn,nothing,held too long,
GOOGL,6,161.00,2025-11-24 10:50:00 AM,158.50,2025-11-24 12:05:00 PM,long,resistance break,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
AAPL,10,213.00,2025-11-21 10:20:00 AM,210.00,2025-11-21 11:35:00 AM,long,breakout,2,averaged down,stubborn,nothing,averaged down,
TSLA,7,237.00,2025-11-20 9:35:00 AM,232.00,2025-11-20 10:00:00 AM,long,gap up,1,trading first 5 min,excited,nothing,entered after big move,
SPY,4,573.00,2025-11-19 2:50:00 PM,570.00,2025-11-19 3:20:00 PM,long,momentum,1,trading last 15 min,impatient,nothing,chased entry,
AMD,8,144.50,2025-11-18 11:15:00 AM,148.50,2025-11-18 12:30:00 PM,long,support bounce,3,n/a,hopeful,small position size,nothing,
AMZN,5,193.50,2025-11-17 9:45:00 AM,190.00,2025-11-17 10:20:00 AM,long,pullback,2,no stop loss plan,anxious,nothing,held too long,

Week Summary,,,,,,,,,,,,,,
MSFT,5,402.00,2025-11-14 10:30:00 AM,398.50,2025-11-14 11:45:00 AM,long,resistance break,2,no stop loss plan,anxious,nothing,held too long,
COIN,8,238.50,2025-11-13 9:38:00 AM,243.00,2025-11-13 10:55:00 AM,long,pullback,3,n/a,hopeful,identified level,nothing,
NVDA,6,136.00,2025-11-12 1:25:00 PM,132.50,2025-11-12 2:40:00 PM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,
GOOGL,7,159.00,2025-11-11 9:35:00 AM,155.50,2025-11-11 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,chased entry,
META,3,506.00,2025-11-10 11:00:00 AM,502.50,2025-11-10 12:15:00 PM,long,momentum,2,averaged down,stubborn,nothing,averaged down,

Week Summary,,,,,,,,,,,,,,
AAPL,8,211.00,2025-11-07 10:45:00 AM,208.00,2025-11-07 12:00:00 PM,long,pullback,2,no stop loss plan,impatient,nothing,held too long,
TSLA,9,234.50,2025-11-06 9:40:00 AM,240.00,2025-11-06 10:55:00 AM,long,opening range,2,n/a,hopeful,quick exit,nothing,
SPY,4,571.00,2025-11-05 2:50:00 PM,568.00,2025-11-05 3:20:00 PM,long,breakout,1,trading last 15 min,fomo,nothing,chased entry,
AMD,11,143.00,2025-11-04 11:10:00 AM,139.50,2025-11-04 12:25:00 PM,long,support bounce,2,chased entry after big move,anxious,nothing,entered after big move,
AMZN,5,191.00,2025-11-03 9:35:00 AM,195.50,2025-11-03 10:50:00 AM,long,pullback,3,n/a,hopeful,small position size,nothing,

Week Summary,,,,,,,,,,,,,,
COIN,7,236.00,2025-10-31 10:20:00 AM,231.50,2025-10-31 11:35:00 AM,long,momentum,2,averaged down,stubborn,nothing,averaged down,
NVDA,6,137.50,2025-10-30 9:35:00 AM,134.00,2025-10-30 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,
MSFT,4,399.00,2025-10-29 1:35:00 PM,395.50,2025-10-29 2:45:00 PM,long,pullback,2,no stop loss plan,anxious,nothing,held too long,
GOOGL,7,157.50,2025-10-28 11:00:00 AM,161.50,2025-10-28 12:20:00 PM,long,support bounce,3,n/a,hopeful,identified level,nothing,
TSLA,8,232.00,2025-10-27 9:42:00 AM,228.00,2025-10-27 10:15:00 AM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
AAPL,9,209.50,2025-10-24 10:35:00 AM,206.50,2025-10-24 11:50:00 AM,long,resistance break,2,no stop loss plan,stubborn,nothing,held too long,
SPY,4,569.00,2025-10-23 9:38:00 AM,565.50,2025-10-23 10:05:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,chased entry,
AMD,10,141.50,2025-10-22 2:45:00 PM,138.00,2025-10-22 3:15:00 PM,long,momentum,1,trading last 15 min,impatient,nothing,chased entry,
META,3,503.00,2025-10-21 11:15:00 AM,507.50,2025-10-21 12:30:00 PM,long,pullback,3,n/a,hopeful,identified level,nothing,
AMZN,5,189.50,2025-10-20 9:45:00 AM,186.00,2025-10-20 10:20:00 AM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
NVDA,7,139.00,2025-10-17 10:25:00 AM,135.50,2025-10-17 11:40:00 AM,long,pullback,2,averaged down,stubborn,nothing,averaged down,
TSLA,8,230.00,2025-10-16 9:35:00 AM,225.50,2025-10-16 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,
COIN,8,233.00,2025-10-15 1:30:00 PM,237.50,2025-10-15 2:45:00 PM,long,support bounce,3,n/a,hopeful,small position size,nothing,
MSFT,4,397.00,2025-10-14 11:00:00 AM,393.50,2025-10-14 12:15:00 PM,long,resistance break,2,no stop loss plan,anxious,nothing,held too long,
SPY,5,567.50,2025-10-13 9:42:00 AM,564.00,2025-10-13 10:20:00 AM,long,breakout,2,chased entry after big move,fomo,nothing,entered after big move,

Week Summary,,,,,,,,,,,,,,
AAPL,8,207.50,2025-10-10 10:15:00 AM,204.50,2025-10-10 11:30:00 AM,long,pullback,2,no stop loss plan,anxious,nothing,held too long,
GOOGL,6,155.50,2025-10-09 9:40:00 AM,160.00,2025-10-09 10:55:00 AM,long,opening range,2,n/a,hopeful,quick exit,nothing,
AMD,9,140.00,2025-10-08 2:50:00 PM,136.50,2025-10-08 3:20:00 PM,long,momentum,1,trading last 15 min,fomo,nothing,chased entry,
NVDA,5,140.50,2025-10-07 11:05:00 AM,137.00,2025-10-07 12:20:00 PM,long,resistance break,2,chased entry after big move,stubborn,nothing,entered after big move,
TSLA,7,228.00,2025-10-06 9:35:00 AM,223.50,2025-10-06 10:00:00 AM,long,gap fill,1,trading first 5 min,excited,nothing,entered after big move,
