symbol,shares,entryPrice,entryTime,exitPrice,exitTime,side,setup,confidence,ruleViolation,psychology,whatWorked,whatFailed,link
SHOP,72,104.80,2025-12-17 9:40:00 AM,108.40,2025-12-17 1:30:00 PM,long,trend continuation,3,n/a,focused,good read,n/a,
TSLA,27,241.60,2025-12-16 11:00:00 AM,245.40,2025-12-16 2:30:00 PM,long,breakout retest,4,n/a,calm,honored stop,n/a,
RIOT,260,13.20,2025-12-15 9:40:00 AM,14.00,2025-12-15 10:50:00 AM,long,gap and go,3,n/a,hopeful,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
AAPL,38,224.60,2025-12-12 10:20:00 AM,228.40,2025-12-12 1:15:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,48,130.40,2025-12-11 9:35:00 AM,127.80,2025-12-11 11:30:00 AM,long,opening range breakout,3,early entry,anxious,n/a,early entry,
AMZN,22,198.80,2025-12-11 10:45:00 AM,202.60,2025-12-11 2:00:00 PM,long,pullback to support,4,n/a,patient,clean entry,n/a,
DDOG,34,140.80,2025-12-10 9:40:00 AM,144.60,2025-12-10 1:45:00 PM,long,trend continuation,4,n/a,calm,patient with entry,n/a,
PLTR,76,72.40,2025-12-10 11:15:00 AM,69.80,2025-12-10 2:15:00 PM,long,breakout retest,3,n/a,focused,honored stop,needed more patience,
MSFT,15,421.60,2025-12-09 10:00:00 AM,425.80,2025-12-09 1:30:00 PM,long,gap and go,4,n/a,calm,good read,n/a,

Week Summary,,,,,,,,,,,,,,
COIN,24,254.80,2025-12-05 10:15:00 AM,260.40,2025-12-05 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,52,128.60,2025-12-04 9:35:00 AM,132.40,2025-12-04 11:45:00 AM,long,opening range breakout,4,n/a,patient,clean entry,n/a,
TSLA,29,238.40,2025-12-04 10:30:00 AM,234.80,2025-12-04 2:00:00 PM,long,pullback to support,3,n/a,calm,honored stop,exited too early,
META,17,514.60,2025-12-03 9:40:00 AM,520.40,2025-12-03 1:00:00 PM,long,trend continuation,4,n/a,hopeful,patient with entry,n/a,
NET,56,113.80,2025-12-02 11:00:00 AM,117.60,2025-12-02 2:30:00 PM,long,breakout retest,3,n/a,focused,good read,n/a,
MARA,190,16.80,2025-12-01 9:40:00 AM,18.20,2025-12-01 10:50:00 AM,long,gap and go,3,n/a,calm,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
NVDA,46,125.60,2025-11-28 9:35:00 AM,122.40,2025-11-28 11:00:00 AM,long,opening range breakout,3,n/a,anxious,clean entry,exited too early,
TSLA,31,236.40,2025-11-26 10:30:00 AM,240.80,2025-11-26 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
AAPL,37,222.60,2025-11-26 9:40:00 AM,226.40,2025-11-26 12:00:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
CRWD,23,370.60,2025-11-25 11:00:00 AM,374.40,2025-11-25 2:15:00 PM,long,trend continuation,3,n/a,patient,good read,n/a,
AMZN,25,196.40,2025-11-24 9:40:00 AM,193.60,2025-11-24 11:30:00 AM,long,breakout retest,3,midday trading,hopeful,n/a,midday trading,

Week Summary,,,,,,,,,,,,,,
SHOP,75,101.80,2025-11-21 10:15:00 AM,105.60,2025-11-21 1:30:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,50,124.40,2025-11-20 9:35:00 AM,128.20,2025-11-20 11:45:00 AM,long,opening range breakout,4,n/a,calm,clean entry,n/a,
META,15,510.80,2025-11-20 10:30:00 AM,507.20,2025-11-20 2:00:00 PM,long,pullback to support,3,n/a,patient,honored stop,needed more patience,
PLTR,78,70.60,2025-11-19 9:40:00 AM,74.40,2025-11-19 1:15:00 PM,long,trend continuation,4,n/a,focused,patient with entry,n/a,
TSLA,27,233.80,2025-11-18 11:00:00 AM,237.60,2025-11-18 2:30:00 PM,long,gap and go,3,n/a,calm,good read,n/a,
DDOG,36,138.40,2025-11-17 9:40:00 AM,135.60,2025-11-17 11:15:00 AM,long,breakout retest,3,low volume,anxious,n/a,low volume period,

Week Summary,,,,,,,,,,,,,,
AAPL,40,220.40,2025-11-14 10:00:00 AM,224.20,2025-11-14 1:45:00 PM,long,momentum breakout,4,n/a,patient,waited for setup,n/a,
NVDA,44,122.80,2025-11-13 9:35:00 AM,126.60,2025-11-13 11:30:00 AM,long,opening range breakout,4,n/a,focused,clean entry,n/a,
AMZN,26,194.60,2025-11-13 10:30:00 AM,191.80,2025-11-13 2:15:00 PM,short,breakdown,3,n/a,calm,honored stop,n/a,
NET,60,111.60,2025-11-12 9:40:00 AM,115.40,2025-11-12 1:00:00 PM,long,pullback to support,4,n/a,hopeful,patient with entry,n/a,
MSFT,16,418.60,2025-11-11 11:15:00 AM,422.40,2025-11-11 2:30:00 PM,long,trend continuation,3,n/a,focused,good read,n/a,
RIOT,270,12.60,2025-11-10 9:40:00 AM,13.40,2025-11-10 10:50:00 AM,long,gap and go,3,n/a,calm,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
COIN,26,249.60,2025-11-07 10:20:00 AM,255.40,2025-11-07 1:30:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
NVDA,52,121.40,2025-11-06 9:35:00 AM,118.60,2025-11-06 11:00:00 AM,long,opening range breakout,3,n/a,anxious,clean entry,exited too early,
TSLA,30,230.80,2025-11-06 10:30:00 AM,234.60,2025-11-06 2:00:00 PM,long,pullback to support,4,n/a,patient,patient with entry,n/a,
META,16,507.40,2025-11-05 9:40:00 AM,513.20,2025-11-05 1:45:00 PM,long,trend continuation,4,n/a,calm,good read,n/a,
PLTR,80,68.40,2025-11-04 11:00:00 AM,65.60,2025-11-04 2:15:00 PM,long,breakout retest,3,ignored signal,hopeful,n/a,ignored signal,
UPST,58,62.40,2025-11-03 9:40:00 AM,66.20,2025-11-03 12:00:00 PM,long,gap and go,3,n/a,focused,honored stop,n/a,

Week Summary,,,,,,,,,,,,,,
NVDA,48,119.80,2025-10-31 10:15:00 AM,123.60,2025-10-31 1:45:00 PM,long,momentum breakout,4,n/a,calm,waited for setup,n/a,
TSLA,28,228.60,2025-10-30 9:35:00 AM,232.40,2025-10-30 11:30:00 AM,long,opening range breakout,4,n/a,focused,clean entry,n/a,
AAPL,36,218.80,2025-10-30 10:30:00 AM,215.40,2025-10-30 2:00:00 PM,long,pullback to support,3,n/a,patient,honored stop,needed more patience,
CRWD,24,366.80,2025-10-29 9:40:00 AM,370.60,2025-10-29 1:00:00 PM,long,trend continuation,4,n/a,hopeful,patient with entry,n/a,
AMZN,23,192.80,2025-10-28 11:15:00 AM,189.60,2025-10-28 2:30:00 PM,long,breakout retest,3,midday trading,anxious,n/a,midday trading,
DDOG,34,136.60,2025-10-27 9:40:00 AM,140.40,2025-10-27 12:15:00 PM,long,gap and go,3,n/a,calm,good read,n/a,

Week Summary,,,,,,,,,,,,,,
MARA,220,18.40,2025-10-24 10:00:00 AM,19.80,2025-10-24 11:45:00 AM,long,momentum breakout,3,n/a,focused,waited for setup,n/a,
NVDA,50,118.40,2025-10-23 9:35:00 AM,122.20,2025-10-23 1:30:00 PM,long,opening range breakout,4,n/a,patient,clean entry,n/a,
TSLA,32,226.40,2025-10-23 10:30:00 AM,230.20,2025-10-23 2:15:00 PM,long,pullback to support,4,n/a,calm,patient with entry,n/a,
SHOP,70,99.40,2025-10-22 9:40:00 AM,102.80,2025-10-22 1:00:00 PM,long,trend continuation,3,n/a,focused,good read,n/a,
META,17,504.60,2025-10-21 11:00:00 AM,501.20,2025-10-21 2:15:00 PM,long,breakout retest,3,n/a,hopeful,honored stop,exited too early,
NET,55,109.80,2025-10-20 9:40:00 AM,113.60,2025-10-20 12:30:00 PM,long,gap and go,4,n/a,calm,waited for setup,n/a,

Week Summary,,,,,,,,,,,,,,
NVDA,46,116.60,2025-10-17 10:15:00 AM,120.40,2025-10-17 1:45:00 PM,long,momentum breakout,4,n/a,focused,waited for setup,n/a,
AAPL,38,216.40,2025-10-16 9:35:00 AM,213.20,2025-10-16 11:00:00 AM,long,opening range breakout,3,early entry,patient,n/a,early entry,
TSLA,26,224.60,2025-10-16 10:30:00 AM,228.40,2025-10-16 2:00:00 PM,long,pullback to support,4,n/a,calm,clean entry,n/a,
COIN,22,243.80,2025-10-15 9:40:00 AM,249.60,2025-10-15 1:15:00 PM,long,trend continuation,4,n/a,hopeful,patient with entry,n/a,
PLTR,76,66.80,2025-10-14 11:00:00 AM,63.40,2025-10-14 2:30:00 PM,long,breakout retest,3,low volume,anxious,n/a,low volume period,
MSFT,14,415.80,2025-10-13 9:40:00 AM,419.60,2025-10-13 12:00:00 PM,long,gap and go,3,n/a,focused,good read,n/a,

Week Summary,,,,,,,,,,,,,,
NVDA,54,115.40,2025-10-10 10:00:00 AM,119.20,2025-10-10 1:30:00 PM,long,momentum breakout,4,n/a,calm,waited for setup,n/a,
TSLA,28,222.80,2025-10-09 9:35:00 AM,226.60,2025-10-09 11:30:00 AM,long,opening range breakout,4,n/a,focused,clean entry,n/a,
AMZN,24,192.40,2025-10-09 10:30:00 AM,189.60,2025-10-09 2:00:00 PM,long,pullback to support,3,n/a,patient,honored stop,needed more patience,
META,18,502.60,2025-10-08 9:40:00 AM,508.40,2025-10-08 1:45:00 PM,long,trend continuation,4,n/a,hopeful,patient with entry,n/a,
RIOT,280,11.80,2025-10-07 11:00:00 AM,12.60,2025-10-07 12:30:00 PM,long,gap and go,3,n/a,focused,good read,n/a,
DDOG,38,134.80,2025-10-06 9:40:00 AM,138.60,2025-10-06 1:15:00 PM,long,breakout retest,3,n/a,calm,waited for setup,n/a,
